date,description,sources,comments
October 1947,An “unknown missile” allegedly crashes this month in Mexico near Guadeloupe. The State Department is said to begin negotiations with the Mexican government to obtain the crashed object.,[],[]
16 December 1947,"Army Lt. Col. Harry H. Pretty writes to the Dep. Dir. of Intelligence (Deputy G-2, U.S. Army) in Berlin that Nazi aircraft designers Reimar Horten and Walter Horten were located in Gottingen, Germany, and although they were responsible for the Horten Ho 299 flying wing design, an investigation determined no flying saucer design “ever existed nor was projected by any of the German air research institutions.”",[],['This finding was never delivered to Congress in an open forum in the decades that followed despite it likely being relevant to Congressional inquiries into the origin of UAP after World War II.']
1948,"An anonymous retired Col. states a UAP crash occurred this year near Laredo, TX. he states when he arrived it was under a canopy and witnesses were sworn to secrecy.",[],[]
31 January 1948,"The Research and Development Board, a key recipient of UAP data at the time (see 23 September 1947) attempts to debunk flying saucers as a “mirage” the result of “mass self-hypnosis.” The RDB statement circulates in newspapers.",[],"['The RDB was chaired at the time by [Vannevar Bush](https', '//en.wikipedia.org/wiki/Vannevar_Bush), who was the former Chairman of the National Advisory Committee for Aeronautics (NACA, which later became NASA). Bush was mentioned in a Canadian Department of Transport document that stated a USG source told Canadian embassy staff the following', 'flying saucers exist, the matter is the “most highly classified subject in the USG rating higher even than the H-bomb,” their modus operandi is unknown but a small group is studying them “headed by Doctor Vannevar Bush.” It is reasonable to deduce this group was the RDB or an ad hoc group with some RDB personnel using the RDB as a cover.']"
1948,"President Harry S. Truman asks his USAF aide, Col. Robert B. Landry, to give him quarterly updates on UAP research but to do so verbally. No records are kept.",[],[]
1948,A source “VA” speaks of a UAP crash at White Sands Proving Ground this year where he was cleared to see a Top Secret message of a saucer shaped craft with one portal window blown out that caused suffocation of five occupants. The bodies had turned blue and were 4 feet tall with oversized human heads. Private property was allegedly purchased to facilitate transport of the craft covertly to the base.,[],[]
1949,"Scientist Albert Collins claims he worked on electromagnetic propulsion at Cal-Berkeley and analyzed samples that were taken away by the Army. The metal was thin, light and could not be dented or cut; it could fold and return to shape.",[],[]
17 August 1949,"An alleged CIA OSI information report on the analysis of UAP states a special studies project within the DOD known as Unidentified Lenticular Aerodyne Technology Transfer (ULATT) Exploitation Program houses six undisclosed projects. It states a power plant was recovered from a crashed UAP in New Mexico and a meeting was held on 14 July 1949 at Blair House where President Harry S. Truman proposed that the “know how” of ULATT be shared with Canada and the UK. The document also alleges that Hannes Alfven, who would win the Nobel Prize in 1970 for his work on magnetohydrodynamics (MHD), was consulted during his early MHD work because it was suggested the ULATT technology used magnetic field lines for travel.",[],[]
17 August 1949,"Great Falls AFB to AMC at Wright Patterson AFB writes on 17 August 1949 that an informant, prone to exaggeration but trustworthy, sees 7 flying discs and two crashed discs. AFB agents dragged the lake and didn’t find anything.",[],[]
1950,"Source “LH” at Bell Laboratories states a source of his, a former NASA employee, had access to information regarding a crash retrieval in 1950. He claims the employee had access to technical material about a head-band transceiver worn by some UAP occupants; LH states the source believes he has been under surveillance and one of his colleagues at NASA involved in security risk related to UAP “disappeared.”",[],[]
27 March 1950,Radio broadcaster Henry J. Taylor announces flying saucers are USAF/Navy secret weapons. It is later claimed the entire story was disinformation planted by the CIA Office of Policy Coordination Political and Psychological Warfare Staff headed by Joseph Bryan III to confuse the American public. Taylor later admitted to the Senate Foreign Relations Committee he didn’t know the origin of UAP.,[],['CIA psychological warfare head Joseph Bryan III later became President and Board']
14 April 1950,"USAF **Project Rand** contracts a white paper on the “Exploitation of Superstitions for Purposes of Psychological Warfare.” The paper writes that convincing a population to believe in paranormal and fringe phenomena, or prophesies concerning future events, could cause them to be non-rational. At scale, this would negatively affect a society. UFOs and UAP are not mentioned. **Project Rand** was a regular recipient of UAP reports from USAF (see 23 September 1947).",[],[]
July 1950,"Cliff Booth, a Holloman AFB contractor, investigates reports of a range station sighting a UAP. Booth and a camera operator film a cigar shaped metallic object. The men turn the film over to the Data Reduction Division at Holloman AFB, and an analyst at Land-Air Inc. states the object was oscillating preventing a stable image. They are told by their superiors at Holloman to forget the incident.",[],[]
6 July 1950,USAF Lt. Col. F. D. McGarrachy states he wants to collect UAP motion pictures taken by U.S. citizens with cooperation from the FBI. He does not want the American population to know of USAF interest in the subject.,[],['This is at a time when USAF public messaging is debunking UAP cases.']
1951,"USAF Maj. Dewey Fournet, while serving on **Project Blue Book**, conducted his own FOIA-exempt extragovernment investigation of undersea and aerial UAP with assistance from the Navy dubbed Operation Interloper. Fournet used his access and USG resources and all but three case files (up to 28) remain lost because they were held in personal archives. Interloper briefed the CIA in 1953 but its findings never reached Congress or the public.",[],[]
27 February 1951,Office of Naval Research physicist Urner Liddel states in a public magazine article that all UAP reports are mirages or balloons. He says trained observers are being fooled.,[],[]
27 February 1951,AEC **Project Twinkle** head Anthony O. Mirarchi tells the Associated Press that Urner Liddel and ONR are purposefully misleading people and true UAP are not balloons and not natural phenomena. Mirarchi states UAP show “maneuvered motion” and says,[],[]
1952,Former Naval officer and consultant to Lockheed-Vega and Glenn L. Martin Co. Thomas Townsend Brown proposes **Project Winterhaven** to the US military.,[],"['According to author Nick Cook, Air Force Office of Special Investigations (AFOSI) and Office of Naval Research (ONR) documents show an interest of USAF Maj. Gen. Victor E. Bertrandias’s visit to the Townsend Brown Foundation when it was proposing **Project Winterhaven**. ONR’s Willoughby M. Cady writes that Townsend Brown’s claims of gravitational anomalies are not well documented, and suggested the Navy and Air Force not pursue the disc designs.', 'In 1955, Brown worked for French aerospace company SNCASO and ran his flying disc designs in a vacuum, where they performed even better than in atmosphere. SNCASO merged with Sud-Est a year later and canceled Brown’s contract.', 'It is worth highlighting that a secret memo dated 23 September 1947 from head of Air Materiel Command Lt. Gen. Nathan Twining to USAAF Brig. Gen. George Schulgen states', '“It is possible within the present U.S. knowledge—provided extensive detailed development is undertaken—to construct a piloted aircraft which has the general description of the object above']"
1952,CIA **Project Moonstruck** allegedly studies long range use of frequencies for the purpose of stimulation of the brains of,[],[]
1952,"A disputed, possibly hoaxed report for disinformation purposes, detail an annual report for MAJIC EYES ONLY ACTIVITIES that mention the recovery of the ejection craft in 1947 with five bodies, and the ejection craft were cylinders that ejected from the collision of larger UAP discs and possibly an experimental US craft; it states the occupants are “human or human like” and share the same biological needs.",[],[]
1952,A family friend of McDonnell Douglas engineer John Schuessler states he was a guard at Wright Patterson Air Force Base in 1952 and saw a craft covered by a tarp taken into a tight security area at the base. He also stated he saw bodies recovered from a “UFO” told to him they were from the Southwest; the bodies were “little people.” He stated “everything delivered had to pass by me.”,[],[]
1952,"A source “ZO” states a colleague of his at Rocketdyne told him he attended a meeting on celestial navigation at another aircraft company in 1952, where one USAF officer told them he was at the scene of one crash retrieval where a piece of metal was broken from the ship and later studied. He said the piece was impervious to diamond saws and torches, and a small body, badly burned, was recovered.",[],[]
19 February 1952,"The USAF Scientific Advisory Board Secretariat suggests **Project Twinkle**, which analyzed UAP at the AEC’s Los Alamos National Lab, Sandia Base, White Sands Proving Ground and Holloman AFB, not be declassified because the phenomena could not be debunked by natural explanations.",[],"['A 25 May 1950 summary shows UAP were seen near Los Alamos repeatedly by scientists, AFOSI personnel, airline and military pilots, security inspectors and “many other persons of various occupations whose reliability is not questioned.” The document from USAF Lt. Col. Doyle Rees states Land-Air Inc. was contracted by Air Materiel Command to study green fireball and disc phenomena near the facility.', 'On 20 December 1948, **Project Twinkle** astronomer Lincoln LaPaz argued a green fireball he saw was no meteor, and turned its light on and off. LaPaz and Lt. Col. Rees started the informal Los Alamos Astrophysical Association to study green fireballs which eventually became Twinkle. All members were scientists and engineers with AEC/USAF security clearances.']"
24 April 1952,"A special study group within Air Force Intelligence assesses nine undersea UAP with the Office of Naval Intelligence. ONI received the reports from U.S. Navy submarines that encountered the undersea UAPs over an undisclosed timeframe prior to the report. The incidents have never been released by ONI, and FOIA requests into the USAF special study group, AFOIN-X(SG), have been denied.",[],['USAF Capt. Edward J. Ruppelt stated AFOIN was conducting a more complete investigation of UAP in the field than **Project Blue Book**. AFOIN offices doing UAP work included the Technical Capabilities Branch of the Evaluation Division (AFOIV-TC) and the Collection Control Branch of the Collection Division (AFOIC-CC).']
20 May 1953,"An anonymous Air Force official claims a UAP crash occurred near Garrison, UT on the Desert Research Experimental Station (DRES). The source claims the craft was buried.",[],[]
October 1952,"Author Whitley Streiber states he lived in San Antonio, TX at this time and remembers being tested while he was having “encounters” as a child. Streiber suggests he may have been tested at Randolph Air Force Base or Lackland Air Force Base. He states he remembers being “trapped in a box” called a Skinner box and given a “forced learning experience” that led him to be put into Brooke General Hospital for six weeks.",[],[]
2 December 1952,"CIA OSI Chief Philip Grandin Strong meets with MIT Provost Julius A. Stratton and professor Max Millikan to discuss UAP sightings and a means of studying them through **Project Lincoln**. Lincoln was an already established air defense project at MIT for the USAF, specifically analyzing photographic reconnaissance and surveillance.",[],"['Project Lincoln may just be one example how the CIA/USAF/AEC “exported” UAP study to universities and private nonprofits (like Battelle, mentioned in the 9 January 1953 entry). Such analysis that may have been done at MIT is not mentioned in any updates to Congress or the American people, and Stratton’s interest contradicts the findings of the Robertson Panel, **Blue Book**, and Condon Committee that UAPs do not warrant further study.']"
9 December 1952,USAF Col. Donald L. Bower forbids Capt. Edward J. Ruppelt from visiting CIA Office of Scientific Intelligence to share information on compelling UAP data. CIA held the “Robertson Panel” the next month without these key cases.,[],[]
1953,"RAF Communications Instructor Fred Threlfall claims a “dematerialization” experiment was successful with an “ashtray.” Threlfall claims he saw the experiment at an airstation in Toronto, Canada.",[],[]
1953,"An anonymous former Warrant Officer in the Army claims he saw crates at Wright Patterson Air Force Base in 1953 with recovered bodies of small humanoids, recovered from Arizona in the desert, and states he happened to be at the “right place at the right time when the crates arrived at night by DC-7.”",[],[]
1953,"An anonymous radar technician at Fort Monmouth, NJ in 1953, “Mr. T,” states he was summoned to see a special film at the base theater; with no briefing, he was shown a film of a desert scene with a silver disc object embedded in the sand with a dome at the top, and the bottom was a hatch or a door; in the next scene the source claims he saw 10-15 military personnel in fatigues with no ID patches standing around the craft.",[],[]
1953,"A source “H.J.” says he was in the Army at Fort Polk, LA in 1953 when they saw an egg shaped UAP crash land into soft sandy soil. A special detachment and ambulance were detached.",[],[]
9 January 1953,"A contractor to the USAF Air Technical Intelligence Center, Battelle Memorial Institute’s Dr. Howard C. Cross proposes that the ongoing **Project Stork** assist the Air Force to reassure the public that “everything is well under control” with respect to the UFO “problem.”",[],[]
18 January 1953,"The CIA Office of Scientific Intelligence convenes a series of meetings on UAP, known as the “Robertson Panel.” The CIA concludes that all national security agencies should strip UAP of “special status” in reporting channels and suggest the public is told there is no legitimate evidence of their existence.",[],[]
9 February 1953,USAF Public Information Officer Albert M. Chop claims the CIA “killed” a press release written up on a UAP filmed on Utah.,[],[]
9 February 1953,"CIA agent Hayden Channing admits to monitoring a public meeting of U.S. civilians discussing UAP in Los Angeles, CA.",[],[]
19 February 1953,"Marine 1st Lt. Edward Balocco is scrambled in an F9F Panther from Naval Auxiliary Air Station Edenton, NC to intercept an unknown target. A disc with blinking red lights approaches him and gets within 350 feet, bathing his cockpit in blue-white light. He can see the bones in his hand like an X-ray where he experiences no sound, and in a flash, the disc leaves the area. Balocco and Capt. Thomas Riggs are debriefed and told not to mention the incident to anyone.",[],[]
21 May 1953,"USAF project engineer on contract with the AEC for Operation Upshot-Knothole “Fritz Werner” (pseudonym) states he was placed on special assignment to investigate a crashed UAP near Kingman, AZ on 21 May 1953, in a signed affidavit. Werner states the object was constructed of an unfamiliar metal similar to aluminum, was oval, and had an entrance; inside, he was told there were swivel steps, a cabin, instruments and displays. Werner states it had one occupant, now dead, dark brown complexion, 4 feet tall, wearing a silvery metallic suit and a skull cap with no face covering or helmet.",[],[]
26 August 1953,"USAF issues Air Force Regulation 200-2, which restricts UAP reporting procedures and supersedes AFL 200-5. All confirmed UAP reports must now be sent to Air Force Intelligence, and reports by USAF personnel do not go to **Project Blue Book**. Fewer credible unidentifieds are sent to **Blue Book** and are therefore kept out of future updates to Congress and the American people.",[],[]
18 December 1953,"Lockheed Martin test pilots Roy Wimmer, Charlie Grugan and flight engineers R. L. Thoren and Joe Ware, see a flying saucer over the Pacific Ocean while flying a Navy Super Constellation WV-2. The crew follows the object for five minutes and noticed it exhibited anomalous acceleration characteristics. After landing, the sighting was corroborated by another Lockheed Martin employee on the ground. Despite the USG contractor sending the case file to USAF Air Technical Intelligence Center at Wright-Patterson AFB, it was never included in any declassified **Project Blue Book** documentation and is not listed as an Unidentified ever analyzed by ATIC.",[],"['**Blue Book** scientific advisor J. Allen Hynek said often the Project had poor organization. It is unknown if this case was lost, purposefully ignored or forwarded to a higher-level investigation like AFOIN-X(SG), but is a relevant example of obfuscation because a UAP was observed by 5 trained USG contractor personnel and omitted from updates to Congress and the American public.']"
1954,Army Col. John Alexander states former Douglas engineer Bob Wood tells him he believed the SOM1-01 manual was created in 1954 with the intention it be leaked to Soviet spies as part of a disinformation campaign. The intent would be to get the Soviets to commit resources to UAP crash recoveries.,[],"['The SOM1-01 manual states it was allegedly taken from Kirtland AFB Building 21 Unit KB-88; it describes a recovery and disposal effort of extraterrestrial entities and technology; it claims an **Operation Majestic-12** was established by special classified presidential order on 24 September 1947 and is a Top Secret Research and Development - Intelligence Group; goals of MJ12 are the recovery of materials/devices of extraterrestrial manufacture, recovery of entities and remains of entities, establishment of Special Teams to accomplish this, establishment of special secure facilities to receive, process, analyze and study these materials, and the establishment of covert operation with CIA to recover craft/entities that are inside foreign territory.']"
10 March 1954,Directive JANAP 146(C) now covers airborne and waterborne CIRVIS and MERINT reports to be used for UAP sightings. Civilian pilots are now prohibited from talking about UAP sightings they report through these channels.,[],[]
12 April 1954,"“KA” states he served in the USAF in 1954-55 at Roswell Air Force Base where he began helicopter training. On the evening of 12 April 1954, KA states he was ordered to report to the flight line as there was a crash in the desert; his crew was “Rescue 4.” The crash retrieval was 25-30 miles northwest over a lake where they saw a metallic saucer crashed edgewise into the sand with a dome in the center, and the outer rim was still spinning and the outer edge lights were still rotating in that direction. Several small bodies were scattered outside the craft, motionless and appeared dead; 4-4.5 feet tall with large heads, in tight fitting dark blue uniforms, no helmets.",[],[]
23 July 1954,"U.S. Navy issues a new directive that orders the reporting of UAP sightings (FLYOBRPTs) to the director of AFOSI, ATIC, commanding officer of Eastern ADC, director of Naval Intelligence, commanding officer of the Eastern Sea Frontier, and the commandant of the Potomac River Naval Command. The directive is intended to stop leaks from Navy and Marine personnel and cites JANAP 146, AFR 200-2, OPNAV 3820 and Directive 3820.2.",[],[]
14 October 1954,"Marine Corps naval aviator states he is told the USAF 4602nd AISS has a “crashed object” program. Material has allegedly already been recovered. This was never reported to Congress or the American public, as the Air Force relied on statements that no physical evidence had ever been recovered as a reason to debunk UAP.",[],[]
28 December 1954,"The NSC 5412/2 Special Group, secret subcommittee of the National Security Council is formed and responsible for coordinating government covert operations. It later becomes the 303 Committee in 1964 and the 40 Committee in 1970 and proposals go to Richard Helms at the CIA. Members include Nelson Rockefeller, Robert McNamara, McGeorge Bundy, Gordon Gray and Allan Dulles, and topics often include science and technology, and the intersection between corporate, contractor and USG interests.",[],"['It is unknown if the 5412/2 Special Group, 303 Committee or 40 Committee dealt directly with any aspects of the UAP issue, but it was long involved in high-altitude reconnaissance flights.']"
1955,"The Air Force issues a statement saying it has a “research and development contract” with the Avro Company of Canada. This is later confirmed to have been Project Silverbug, a variant of the Avrocar, a failed attempt at a flying saucer that was underpowered and unstable when it was tested by Canadian company Avro.",[],['John Frost’s son states he uncovered a file in the Canadian National Archives that shows Frost traveled to West Germany in 1953 and met with a German aviation engineer who claimed to have worked on disc-shaped aircraft. The German said the project was underway near Prague']
1955,"Physicist Louis Witten states he was recruited by George S. Trimble, VP for Aviation and Advanced Propulsion Systems at the Glenn L. Martin Company, into the Research Institute for Advanced Studies (RIAS). Witten states Trimble recruited him to develop anti-gravity, and in 2013, stated anti-gravity was “discovered” in this project. Witten suggests several ideas were tested including using an isotope of bismuth, but does not give details. The Glenn L. Martin Company evolved into Martin-Marietta and merged with Lockheed in 1995.",[],[]
1955,"An environmental systems VP in Van Nuys claims as early as 1955 he worked in a UAP group at Douglas Aircraft in Santa Monica; he claims he worked there with “Wheaten” (now at Lockheed, in the submarine division), Ted Gordon, “Klemperer” and Dave Crook. The VP states they were asked by Douglas management to assess cases from **Project Blue Book** including films and photos that led them to conclude UAP used “multi-dimensional physics.” The group was asked to forget this conclusion. He claims the Douglas group found a site in the “Owen Valley” where thousands of UAP went in and out of solid ground.",[],[]
1955,"“Mrs. G” working in the Foreign Materials Division at WPAFB in the 1940s and 1950s developed cancer and before her death claimed in 1955 she was assigned to catalog all incoming UAP material, approximately 1,000 items, including items from the interior of a recovered UAP brought to the base; all items were photographed and tagged. Mrs. G. Also witnessed the transfer of two dead humanoids, 4-5 feet tall, larger heads and slanted eyes.",[],[]
1 March 1955,"Documents provided by former Douglas Aircraft engineer William Tompkins suggest Douglas was studying “unconventional” propulsion systems based in part on collection of UAP materials in the open source. Tompkins claims that he worked in a secret Douglas think tank called Advanced Design, tasked with helping the US Navy develop a secret space fleet using antigravity technology.",[],"['Tompkins claims former Navy Secretary James Forrestal was aware of the Navy espionage program on Nazi antigravity programs, which he alleges led him to establish the Office of Research and Inventions in May 1945.']"
1 March 1955,"Former Douglas engineer William Tompkins also suggests around this time he became aware of a deep underground military base below Offutt AFB that has to do with a secret space program and also a large cave in the Wasatch Mountains, Utah, where large advanced aerospace craft are constructed.",[],[]
5 May 1955,"USAF ATIC and contractor Battelle Memorial Institute publish “Special Report No. 14,” a comprehensive analysis of 3,200 UAP sightings. The report concludes that UAP are not aerial craft beyond human scientific knowledge because no “physical matter” had ever been recovered in any UAP sighting. This contradicts two declassified metallurgical analyses on shape memory alloys Battelle itself performed for Wright-Patterson AFB six years earlier, which weren’t declassified until 2010.",[],[]
15 October 1955,"Sen. Richard Russell sees two circular flying discs while traveling by train in the Soviet Union. The CIA classified this Top Secret and did not share the case with the Air Force, **Project Blue Book**, or the Condon Committee, and it was withheld from Congressional committees in 1960 and 1966 and withheld from the public until it was declassified in 2019.",[],[]
20 November 1955,New York Herald Tribune journalist Ansel E. Talbert,[],"['The article also mentions George S. Trimble’s RIAS (see 1955), and states it is financed by Glenn L. Martin Co. but isolated from the company’s aircraft building business and managed by Welcome Bender. It is suggested RIAS partnered with IPP.', 'Gordon Gray’s presence in IPP anti-gravity studies is noteworthy. Gray was the director of the Psychological Strategy Board, a committee formed by the Truman Administration to coordinate and plan psychological operations. The Board included representatives from DOD and DCI.']"
1956,"Testimony of USAF Gen. Bernard Schriever states when he was with the Development Planning Office, he worked very closely with the Technical Intelligence Office at Wright Field (which became the Foreign Technology Division). Schriever states **Project West Wing** was",[],"['FTD swept up UAP information in its **Project Moon Dust**, and personnel from Ramo-Wooldridge later joined TRW and after that Aerospace Corp. Aerospace spun out of']"
24 January 1956,"Wright-Patterson AFB monitored a reported “landing” of a flying saucer in the Kataghan province of Afghanistan. USAF attempted an overflight for aerial view, search and confirmation of info, and to determine if Afghanistan authorities were hauling the recovered craft to Kabul. Neither USAF ATIC nor Battelle amended their conclusion that a lack of physical evidence meant UAP were not advanced craft, and CIA OSI did not update their conclusions. Subsequent Congressional inquiries in the 1960s relied on conclusions that were out of date and continued to not include physical debris.",[],[]
February 1956,"USAF Capt. Edward J. Ruppelt writes that while he was assigned to the Air Technical Intelligence Center as director of **Project Grudge** at Wright-Patterson AFB in 1951, he saw a Top Secret Estimate of the Situation that stated UAP were “interplanetary” in origin created by the predecessor **Project Sign** in 1948. Ruppelt states the Estimate was rejected in 1948 by Gen. Hoyt S. Vandenberg and ordered for destruction. Ruppelt states a few copies survived and circulated within ATIC, but no declassified copies have ever been released to Congress or the public.",[],[]
25 February 1956,"The Special Weapons Study Unit of Aviation Studies International, Ltd. delivers an examination of electrogravitics systems (the link between electromagnetism and gravity to produce antigravity) to Wright-Patterson Air Force Base. The report refers to a **Project Winterhaven** that suggested a “saucer” could create a local gravitational field and serve as a USAF interceptor with Mach 3 capability. It was declassified in 1995. Winterhaven was allegedly based on the designs of Thomas Townsend Brown.",[],[]
April 1956,"USMC Maj. Darrell L. Ritter, ONR Capt. Sidney Sherby and ONR Projects Officer Cmdr. George W. Hoover receive an annotated copy of Morris K. Jessup’s The",[],['The timing of the Philadelphia experiment rumor coming out four years after Brown’s proposal of **Project Winterhaven** and months after Wright-Patterson’s examination of Winterhaven is curious.']
April 1956,"Author Morris K. Jessup states he received two strange letters from an alleged Carlos Miguel Allende who claims the USS Eldridge or the USS Engstrom were subject to an experiment at the Philadelphia Navy Yard. Allende claims he witnessed it, and the ship and its crew became invisible temporarily, before experiencing side effects. Allende later tells APRO the “Philadelphia Experiment” was a hoax, but then states the CIA “coerced” him into saying it was a hoax.",[],[]
1 May 1956,"Former USAFHQ spokesman Maj. William T. Coleman claims Air Force Manual section 190-4 was in effect as of this date and after, affecting all USAF press releases, statements to Congress and the public, and publications about UFOs. Coleman later tells NICAP that AFM 190-4 requires the Secretary of the Air Force Office of Information to delete all evidence of UFO intelligence control, which contradicts the official stance at the time that true UFOs didn’t exist. He",[],[]
5 July 1956,"Rep. John Moss, Chairman of the Subcommittee on Government Information, complains that the USAF “Blue Book Special Report No. 14” on UAP is not available to the public despite it being unclassified. Moss asks the USAF why it hasn’t produced more copies, to which it replies “the full report…is not available for widespread distribution because of prohibitive costs.”",[],"['Given **Blue Book** scientific advisor J. Allen Hynek later said (see 1979) the USAF and CIA wanted to cool down public reaction, the Air Force’s reluctance to distribute its largest study to date fits with that strategy. See 5 May 1955 entry for information on how the report also withheld key information on physical evidence; metallurgical studies performed by USAF contractor Battelle.']"
5 July 1956,"Alleged unnamed U.S. Navy pilots at Naval Air Station Los Alamitos tell news reporters they have orders to shoot down hostile UAP. Pilots claim this order is standard for flights over the Pacific. This information does not seem to have been shared with Congress over the next decade of hearings or briefings, and contradicts the official Air Force stance at the time that no physical evidence of UAP existed or was sought after.",[],[]
September 1956,"Alleged unconfirmed reports of a domed disc-shaped craft landing at White Sands Proving Ground, NM. Witnesses include dozens of base personnel and watch the object land before shortly taking off. Personnel are allegedly assembled at Holloman AFB and told not to speak to anyone about the event.",[],[]
Late 1956,"The General Physics Laboratory of the Aeronautical Research Laboratories/Aerospace Research Laboratories (ARL) at Wright-Patterson AFB hires physicist Joshua N. Goldberg to administer multiple contracts related to relativistic theories of gravitation. Goldberg works here until 1963, before joining the University of Cincinnati for a year and moving on to other universities. Curiously, fellow anti-gravity researcher Louis Witten joined the University of Cincinnati after his contracted work for Wright-Patterson ended in 1968 (see 1955).",[],"['It is thought the ARL anti-gravity studies ended in 1970 with the passage of the Mansfield Amendments, which limit military funding of research that lack a specific military function.']"
May 1957,"U.S. civilian organization NICAP is told a fake UAP crash story in Everglades, FL. The source is an Associated Press employee and “former Signal Corps engineer” with ties to the NSA, who admits to faking the story but provides no motive.",[],[]
24 September 1957,"Dir. of Air Force Intelligence Gen. Millard Lewis advised the multi-agency “Watch Committee” responsible for monitoring Soviet I&W that a UAP monitored on radar between New York and Illinois traveling Mach 3 (twice that of the world airspeed record in 1957) was a weather phenomenon. Lewis delivered his conclusion one day after the event despite admitting an investigation was incomplete, and despite White House interest in the matter.",[],[]
7 November 1957,"Guards at the Atomic Energy Commission’s Pantex Plant in Amarillo, TX report three flashing objects 50 feet above the ground before landing on Farin Road 2373. Guards attempted to approach but the “things would slip away from them when they got near,” and they were “all shook up.” Neither AEC nor the DOE have ever declassified any information related to this event.",[],[]
1958,An anonymous “military source” tells Linda Moulton Howe that a UAP was purposefully landed in the southwest corner of Hill AFB and the door was left open for USAF personnel to take custody of.,[],[]
1958,"Before the creation of NASA and the start of the Mercury program, the Air Force sponsors a project named **“Man-In-Space-Soonest” (MISS)**. MISS contracts Lockheed to build a spacecraft for a single astronaut, but it is canceled when manned spaceflight is turned over to NASA at the orders of President Eisenhower. Interestingly, USAF still contracts Lockheed to build the",[],[]
1958,The North Atlantic Treaty Organization (NATO) begins supporting anti-gravity research as part of its Science for Peace and Security (SPS) grant mechanisms that continue to this day.,[],[]
